,sentence,label
57,ekim 2015 te aldım ürünü aktif olarak da kullanıyorum. kullanımında herhangi bir sorun yok. galaxy s6 cihazımı 3 kere dolduruyor. ancak şarja taktığımda ilk çizgi sürekli yanıp sönüyor 2. ye atlamıyor. i̇lk çizgi dolduğunda çıkarıp takmak durumunda kalıyorum. ve bu işlemi 3. ve 4. de de uygulamak zorunda kalıyorum.,0
58,çok memnun kaldım ,1
59,kokusu hoşuma gitmedi zaten kalcılık diye bir şey yok kolonya olarak kullanabilir siniz.,0
60,çok sesli bi makine  onun dışında guzel ama ses de  çok önemli :(,0
61,mükemmel müşteri memnuniyeti ve insana verilen değer takdire şayan,1
62,"eksik veya hatalı herhangi bir parça yoktu, olması gerektiği gibi tertemiz paketiyle geldi.",1
63,sızdırma ile ilgili olarak çok yorum yapılmış ben üründen kaynaklı bir sızdırmaya henüz rastlamadım. ürün gayet kaliteli emsallerinin en iyisi diyebilirim.,1
64,kaliteli ve uygun fiyat daha ne olsun,1
65,harika bir teslimat süresi ,1
66,hiç bi işe yaramaz sadece temizleme suyu ve bezi kullanılır diğerlerini çöpe attım.,0
67,bende yeni aldm ama zinciri cok ince,0
68,bu fiyata bu kalite çok iyi düşünen varsa tavsiye ederim ben 1 aydır kullanıyorum çok memnunum arzuma teşekkürler..  ,1
69,hiç bir işe yaramıyor.  boşuna alip paranizi çöpe atmayin. her türlü denedim 30 dk 20 dk 10 dk önce hic bir etkisi yok,0
70,hizli teslimat ve uygun fiyat her zaman icin. bebegim dogdugu gunden beri bez siparisini hepsiburada. com'dan veriyorum,1
71,"kullanışlı,hesaplı ve hızlı gönderi için hepsi burada ya teşekkürler.",1
72,anneme aldım 60 yaşında kadın sözde süpürgeyi çıkarmasın kolaylık olsun dedik okadar ağırki baya kas yaparsınız.ayrıca halı üzerinde yürütmek zor hatta çok zor annem 2 gün dayanamadı bana verdi inanın koca süpürgeyi hergün çıkarırır süpürürüm ama bunla ayda 1 bile süpürmem.,0
73,yapılan olumlu yorumlar gerçekten ilginç. hepsiburada.com yetkilileri bu dakikadan sonra umarım bu yorumları daha titiz değerlendirir.,0
74,ürünü kızıma kullanıyoruz.diğer markalarıda kullandık en iyi sonucu sızdırmazlığı veren ürün prima gerçekten.,1
75,kampanya döneminde çok uygun fiyata aldım. sorunsuz teslimat oldu. teşekkürler hepsiburada,1
76,bazı yorumlarda yeni paketlerin sızdırdığından bahsetmişler. ben böyle bir sorunla karşılaşmadım. aksine yeni bezleri daha çok  beğendim,1
77,"kokuyu sıkıyorsunuz, yarım saat bile kokmuyor, tamamını boca etseniz belki 1 gün kokabilirsiniz :(",0
78,"prima kalitesi belli,sızdırma konusunda mükemmel. hepsiburada fiyat olarak oldukça iyi ve teslimat hızlı. hepsiburada'dan yaptığım her alışverişte olduğu gibi yine memnun kaldım.teşekkürler...",1
79,fiyattan ve hizmetten memnunuz.,1
80,ancak eylülden itibaren aldığımız ürünlerde ciddi sorunlar var,0
81,kalite ve uygun fiyat. ,0
82,sürekli hepsi burada dan alıyoruz. tavsiye ederim.,1
83,çok çabuk geldi. ürün cok iyi ,1
84,"oğlum içinde prima kullanmıştık, kızım 2yaşında doğduğundan beridir de prima kullanıyoruz ve hepsiburadanın dışında prima bebek bezi aldığımı hatırlamıyorum.. şimdiye kadar hiç bir sıkıntı yaşamadım ve buradan alışveriş yapma devam edecem. sipariş veriyorum en geç 2 gün içinde evimde oluyor. tavsiye ederim herkese..",1
85,hee zaman bu siteyi kullanarak çocuk bezi alıyorum ve uygun fiyata,1
86,"kaliteli ürün, hızlı kargo ",1
87,güzel ürün devamlı kullanıyorum. yeni gelecek çocuğuma da kullanacağım. teşekkürler prima ,1
88,prima fazla soze gerek yok,1
89,idare eder,0
90,"difuzoru beklenilenden kucuk, avuc ici kadar diyebilirim. bu yuzden alismak biraz uzun surdu. hiz ayari 1deyken bile hizli geldi. ancak bunların disinda  genel olarak gayet iyi. hicbir sorun yaşamadım. fiyat performans orani yuksek bir urun. ",1
91,ürünü aldım iki günde teslim edildi ama makine çok sesli çalışıyor.,0
92,"bu ürün berbat, prima kalitesine inanarak aldım fakat bin pişman oldum daha önce aldıklarıma benzemiyor, çocuğun altı sürekli pişiyor. kuru falan kaldığı yok hep ıslak nasıl yeni ürün anlamadım ürün berbat...",0
93,tek parça kauçuk sanarak aldım ama beze sarılmış sünger gibi birşey. iş görür mü görür ama beni memnun etmedi.,0
94,al hadi gecikme,1
95,"yeterince iyi bulmadım,beklentimi karşılamadı daha iyi olabilirdi.",0
96,ben iki çocuğumada prima kullandım ve vaz geçmeyi düşünmüyorum en kaliteli ürün sizde deneyin.,1
97,bu fiyata bu urun cok cok iyi...,1
98,yorumlara bakarak ürünü almıştım doğruda yapmışım..fiyatının uygun olması sizi yanıltmasın gayet iyi bir ürün.üründen de hepsiburada.com dan da çok memnunum.,1
99,ürün güzel kalite tartışılmaz hızlı kargo,1
100,hızlı kargo teşekkürler.,1
101,hediye için teşekkürler hb. ama hiç göndermeseniz daha iyiydi. zaman harcamak zorunda kaldım.,0
102,aşırı sesli bir makina tavsiye etmiyorum,0
103,ürünü alalı yaklaşık 2 ay oldu güzel çalışıyor.çekim kalitesi çok yüksek değil ama kesintisiz ve güzel açık alan 50 mt den.çekiyorum şuan sinyali 3 diş gösterge var hızlıda....,0
104,on numara,1
105,ürün teslimatı ve servis kurulumu gayet hızlıydı ama makina istediğim performansta cıkmadı ayakları cok kısa belkide servis ayarlamadı anlamadık .,0
106,pek birşey yazdırtmadım. renkli bitti diyor. günde bir ki tane basarsan 1 2 ay ancak yeter ,0
107,bu ürünü 2 senedir kullanıyorum ve sürekli bu siteden alıyorum en ufak bir sorun ve problem yaşamadım teşekkür ederim.,1
108,i̇yi ,1
109,dört dörtlük olmasada evde kullanım için ideal.fiyatı çok uygun.,1
110,çok iyi bir ürün gönül rahatlığı ile kullanıyoruz,1
111,saç kurutma makinası gayet güzel. hızlı kargodan dolayı teşekkürler..,1
112,üründe kullanılan malzeme kalitesiz. ağırlık yapsın diye lambanın içine briket benzeri malzeme koymuşlar fakat yerini ayarlayamadıkları için lamba başlığını eğdiğiniz zaman lamba düşebiliyor.,0
113,i̇yi iş,1
114,ürünün kalitesini knusmaya gerek yok ,1
115,tümü metal diye bekliyordum.ama ust metal kaplama sadece ve aktarım hızı çok yavaş. ayrıca usb yuvasına zor takılıyor.,0
116,ürün güzel fakat arkası hemen çizilio,0
117,prensip olarak çok kolay beğenen biriyimdir. ancak bu ürünü aldigim gün iade ettim. zira gerçekten fonksiyonel olarak hiç bir işe yaramaz.,0
118,bu fiyat market fiyatlarından daha ucuz ve kapınıza geliyor. ,1
119,"ürün çok hızlı elime ulaştı, performansı da çok süpermiş. tutuşu çok rahat, kendi kendime çok kolay fön yapabiliyorum. herkese tavsiye ederim.  ",1
120,i̇nce sızdırıyor ve kalitesiz ve yapışkan bantları tutmuyor . bir daha almayacağım. ,0
121,prima bebek bezleri oldukça kaliteli ve fiyat olarakta en uygun hepsi burada idi bir gün öncesine kadar ama hepsi burada hem fiyat artırmış hemde kargo ücreti limitini artırmış inşaallah eskiye  geri  döner,1
122,bezi hiç begenmedim. sanırım bu aynı markanın ikinci kalitesi. almamanizi tavsiye ederim.,0
123,ürün fiyatına göre çok iyi.,1
124,kalite çok düşük.,0
125,kullandığım bir ürün.hepsi buradanın fiyat avantajlarıda iyi.2 gün içinde elimde olmasıda avantaj.tavsiye ederim........,1
126,li bir urun .bekledigimden cok cok kucuk cikti.zinciri en ince zincir.tavsiye etmiyorum.,0
127,"telefonda kizilotesi ir portu yok. klimanizi ses sisteminizi vs.kumanda edemezsiniz. ( sadece internete baglanabilen cihazlarda 3. parti yazilimlariyla kontrol edebilirsiniz, ir portla.eski tuplu televizyonu bile kontrol edebilirsiniz) hizli sarj ozelligi yok. qualcom un snapdragon 820 si ile gelen islemci destekli hizli sarj yok. en komigide type c baglantisi bile yok. type c giris yeri yazin aratin hiz farkina bakin. type c gelecegin mobil baglantisidir ama amiral gemisi denilen telefonda bu bile yok. dahasi touchwiz pismanliktir. samsung arayuzu olan touchwiz donma yapar.",0
128,hesaplı ve uygun bebeğime primium care ve aktif bebek kombinasyonu kullanıyoruz.,1
129,adamlar işini güzel yapıyor.helal olsun 2 günde geldi.gayet güzel hemde ekonomik,1
130,klavye koruyucusı çok iyi,0
131,ben ısterımkı   aynı gun teslımınız (agt) hizmetinizçorum ve çevre i̇llerdede olsun   o zaman daha cokperformans alacaginizdan hic supheniz olmasin ,0
132,"arkadaşlar aynı hataya düşmeyin!!!! bende önceki kullandığım telefon sony olduğu için bildiğim markadan devam etmek istedim ama tam bir hüsrana uğradım kamerası ve donanımı sizi asla yanıltmasın telefon şarj yönünden bir günü ucu ucuna bile zor çıkarıyor öncelikle, ben telefonda oyun oynayan birisi değilim buna karşılık telefonda aşırı kasmalar, donmalar, kitlenmeler, kendini resetlemeler çok fazla meydana geliyor, karşı tarafla konuştuğunuzda sesiniz karşı tarafa gitmiyor veya kesik kesik gidiyor çok kişiden bu yönde teyit aldım, telefon şehrin neresinde olursanız olun gereksiz bi şekilde şebekeden kopuyor arayan ulaşamıyor siz durumdan bi habersiniz tabi, telefonun diğer büyük sıkıntılarından birisi telefon şarj alıyor gösteriyor şarj ışığı yanıyor ama şarj almıyor kapatıp açsanızda birazda bekleseniz çokta bekleseniz değişen bişey olmuyor şarj cihazını değiştirmek yada servise yollamak zorunda kalırsınız benden söylemesi baştada dediğim gibi sakın markaya güvenipte almaya kalkmayın bende bu şekilde tercih ettim büyük hüsrana uğradım ve pişmanım bir daha da asla sonyi tercih etmem donanım ve fiyat olarak piyasadaki çoğu telefonun üstünde cazip gelebilir size ama unutmayın kullanırken yaşayacağınız sıkıntılar cabası olarak size kalacak iyi düşünün doğru karar verin ben oldum siz pişman olmayın.",0
133,prima'nın kalitesini bilmeyen yoktur.hepsiburada kampanyaları ve  uygun fiyatlar birleşince başka ürün alınmaz,1
134,pek kullanışlı bir ürün değil ama düşünülmesi iyi....,0
135,prima kalitesi zaten belli fiyatta uygun daha ne olsun teşekkürler hepsiburada ??,1
136,para verilip alınmaya değmez.. fiyatının cok aşağısında bir ürün.,0
137,kokusu hoş denebilir ama kalıcılık ve etkisi beklenti altında,0
138,arkadaşlar telefon iyi güzel 1299 /795  tl ye düştü deniliyor cazip görünüyor alınca şarj cihazı kalitesi telefonu  keşke almasaydım dedirtiyor bu kadar kalitesiz şarj cihazı markaya ve  satıcıya yakışmıyor,0
139,ürün değerine göre güzel kullnışlı,0
140,süper fırsat,1
141,merhabalar kitaplığımı kurdum kullanmaya başladım. taşıma esnasında çok ufak bir darbe almış onun dışında memnun kaldım. teşekür ederim,0
142,"aylik paketteki bezler (veya kampanyali olanlar böyle) cok ince. gündüzleri degil ama geceleri sızdırıyor. memnun kalmadik primadan, haftada bir kez kesin gece sızdırıyor, sanırım emicilik az veya çocuk fazla idrar yapıyor olabilir (!!!)",0
143,hiç bir problem yok. gayet kullanışlı ,1
144,"her boruya uyunlu dendi, bor bir türlü girmedi yırtarak soktuk her boruya uyumlu aparat yapmalılar.",0
145,klavye koruyucu şeffaf değil.ışıklı klavyede ancak kullanabilirsiniz.kapak koruyucu büyük  ayarlayıp fazlalağını kesmek lazım .kısacası olmasada olur :bir ürün.hediye olarak geldiği için kullanıyorum.bu kadar para vermeye değmez bence...,0
146,"kalite, fiyat çok iyi. hepsiburada.com bu işi iyi biliyor. ",1
147,ürün orjinal ve çok kullanışlı. i̇htiyacı olanlara tavsiye ederim tereddütsüz alabilirsiniz. gayet uygun ekonomik ve ürün eksiksiz geldi. hızlı kargo için teşekkür ederim hb.,1
148,ürün çalışırken hamam böcekleri rahat rahat dolaşıyor evde,0
149,"pişirmesi güzel ancak, etlerde kullanılan tuz ve baharat eriyerek altta birikiyor. buda pişen etin tadını bozuyor. diğer ürünler üzerindeki etkisini bilmiyorum. çünkü yapmadım.",0
150,i̇şi̇ bi̇tti̇ği̇nde di̇rek çöpe yani̇ kullan at yazici.,0
151,bugün elime geçen aylik 4 ve 5 numaralı bezler iki oğlumda da aynı etkiyi gösterdi hem sızdırdı hem de pişik yapıyor.umarım hemen eski kalitesine geri döner.,0
152,bezi bağladıktan sonra her kontrol edişimizde bantların ayrıldığını görüyoruz. kalite gerçekten kötü.,0
153,her zaman prima kalitesini düşünerek bez aldım çok memnunum ,1
154,"bu güne kadar çok farklı matkap markaları da kullanmış biri olarak, kullandıklarım arasında üst sıralara koyabileceğim kalitede bir ürün. ürün ile ilgili bir sorun yaşamayacağınızı düşünüyorum.",0
155,fareler icin aldim hala daha bahcede fare  var ise yaramiyor 1 aydir nerdeyse mullaniyorum... yeni urun bakiyorum suanda,0
156,ürünleriniz gayet güzel fiyatlarınızda en güzeli 9 taksitte alıyor olmam,1
157,arkadaşlar bebeğim için yaklaşık 1.5 senedir prima pampers kullanıyorum son almış olduğum mega box yeni yazan ürünler kalite ve sızdırmazlık olarak eski ürünle uzaktan yakından alakası yok kesinlikle bir maliyet hesabına girilmiş kutusundan bezin kalitesine herşeyi baştan aşağı değişiklik göstermekte açmamış olsam iade etmeyi düşünüyordum.kali̇te eski̇si̇ gi̇bi̇ deği̇l sizdiriyor,0
158,"hepsiburada.com dan çok menmunum yanlız bu ürün sanki teşhir ürünü gibi gözüküyor, dijital ekranı çililmiş gibi, başkada herhangi bir sıkıntı yok ürün elime zamanında ulaştı. buradan alışveriş yapmak çok güvenli.",0
159,aldığım en kötü kağıt havlu. fiyatı indirmişler ama kaliteyi de acayip düşürmüşler.bir daha asla almam. kesinlikle tavsiye etmiyorum.,0
160,bende hiç bir işe yaramadı.,0
161,ürün gayet güzel kuvvetli bir makina.,1
162,ürün enterasan çünkü baş kısmı alt kısmından ağır olduğu için ayakta durmakta zorlanıyor ama bu paraya daha iyi olmazdı sanırım. unutmadan ampülde koyaydınız iyiydi alalı bir hafta oldu bir haftadır ampul almayı unutuyorum :),0
163,2 çocuğumda da neredeyse her markayı denemiş biri olarak soyluyorum ki en iyi bez prima dır. üzerine yoktur. hepsiburada da hızlı teslimat ve uygun fiyat konusunda beni her zaman tatmin etti . teşekkürler. ,1
164,tabi zevkler değişir de bu bildiğin kolonya çok çok hafif bir kokusu var oda ilk fısfısta hava yok oluyor,0
165,zamanında doğru ürün,1
166,gayet iyi bir ürün kablosu biraz kısa ama kullanışlı tavsiye ederim. ,1
167,sıkarken bile kokusu gelmiyor su gibi birşey bu fiyata bu iyi dedim ama hiç iyi değilmiş,0
168,geçen ay hotboint arıston buzdolabı aldık bu günde 10 kg luk hotboint arıston  çamaşır makinası aldık ama hiç güzel yıkamıyor birde o kadar para verdik keşke başka ürün alsaydıkhiç tavsiye etmiyorum  bu konuyla ilgili görüş yapan varsa seviniriz,0
169,herşey iyi tek ve büyük sorun çekim gücü düşük,0
170,premium care'den sonra aktif bebege devam ettik. oldukça memnunuz. bebeginizin cildine uyumluysa kullanmanızı tavsiye ederim.,1
171,bu ürünü kızıma aldım kendisi öğrencidir. sadece iki gün sonra fişe takılıyken bozulduğunu söyledi. şahsen üzüldüm. böyle bir ihtimal olduğunu bilesiniz diye yazıyorum.,0
172,krom kaplaması on ayda cıktı paslandı ,0
173,kapasite çok iyi. 10-12 saate kadar sızıntı yapmıyor. fiyat biraz daha uygun tutulabilir.,1
174,arkadaşlar yaklaşik 45 gün oldu 2 adet aldim . ama telefonda konuşmalar sirasinda hat kesi̇li̇yor ses gi̇di̇yor sesi̇m karşiya gi̇tmi̇yor.. şebekeni̇n ful çekti̇ği̇ yerde bi̇le  bazenbi̇r görüşmeyi̇ tamamlamk i̇çi̇n 4-5 defa ard arda kapatip tekrar aramak zorunda kaliyorum ..onun dişinda di̇ğer negati̇f özelli̇ği̇ bazi uygulamalarda i̇nstagram  gi̇bi̇  bomberman gi̇bi̇ oyunlarda aşiri isinip kasiyor. ayriyetten daha önce g7 kullanicisi olarak kullandiğim büyüteç özelli̇ği̇ g8 de  hatali  yaklaştirmaya bastikca uzaklaştiriyor ve netli̇k bozuluyor. telefonda 4.5 g ve 3g yi̇ kapatmadikca hat keslme problemi̇ devam edi̇yor. bu problemler olmasa huawei̇yn eski̇ g7 kullanicisi olarak çok memnundum ..ama bunlar olunca i̇nsanin cani sikiliyor. ,0
175,prima için ne söylenebilir ki?,1
176,ürü i̇yi̇ ama bedeni̇ni̇ aliyorsun oluyor yikaninca çeki̇yor 2 beden büyük alin ben s aldim şi̇mdi̇ olmuyor,0
177,iyi,0
178,kizim doğduğundan hu yana hep bu markayı kullandık ve cok memnun kaldık. uygun fiyatlar ile hepsiburada kampanyalari ile surekli aylik paket aliyorum. kesinlikle tavsiye ederim.,1
179,mach 3 kullanıyorsun mach 3 gore gayet iyi,0
180,"prima, son derece memnun kaldığım bir ürün. özellikle hepsiburadadan temin edildiğinde fiyatı oldukça makul oluyor. 15 aylık ikizlerim doğduğundan beri tüm bebek bezi ihtiyacımızı hepsiburadadan karşılıyorum. çok memnunum. ",1
181,bu fiyata bu kalite oldukca iyi sogutma özelliği de en son işiniz bitince iyi birsey inşallah garantide urun gibi kaliteli olur teşekkürler,1
182,ürün üç gün önce elime geçti.güzel koku fakat kalıcılığı fazla yok,0
183,sızdırma olduğunu söyleyenler muhtemelen yanlış kullanıyor. iki kutu 4 numara bitirdik bir problem yaşamadık. yeniden 4 ve 5 er numara sipariş verdik. hızlı ve güvenilir alışveriş hepsiburada ya teşekkürler.,1
184,"bu urunu, iki yuzlu pisirme ozelligi ve yuzunu cevirme esnasinda akitmamazlik ve sizdirmamazlik ozelligi sebebiyle satin aldim, ama gelin gorun ki urun sizdiriyor ve akitiyor, her seferinde ocagin ustu batiyor. bu urune bu kadar para verecegime, normal bir tava alip ustune de siradan bir kapak alsam daha cok isimi gorurdu. dileyenle de bu iddiami tartisirim. bana ne paketinden ambaljindan teslimat suresinden. hic kullanisli degil ve aldigima cok pismanim. urunu uretenlere de tavsiyem, insanlari sizdirmamazligi hususunda kandirmamalari yonundedir.",0
185,ürünü 4 aylık kızım için aldım. memnun kaldık herkese tavsiye ederim teşekkürler hepsiburada,1
186,"görüntü kalitesi samsung düzeyinde fakat menüler arası geçişler çok yavaş özellikle internete bağlanması 20 saniye sürüyor. youtube izlerken reklam geldiğinde kilitleniyor , usb den film izlerken 1 tb lık harddisk de özellikle filmin sonunu göremiyorsunuz kitleniyor. sonuç olarak tv için alınır smart tv için kesinlikle alınmaz",0
187,berbat hiç bir işe yaramıyor,0
188,2 yıldır kullanmaktayım pirma bu işi biliyor,1
189,ürün aynı resimde göründüğü gibi. fiyat ve kalite açısından gayet güzel ve kullanışlı. ,1
190,gayet akıllıca ve mantıklı bir ürün. bizim gibi doğuda görev yaparken marketler bile ugrasmiyorsunuz,1
191,"hızlı kargo, hızlı teslimat. ",1
192,"bir bezin taşıyabileceği tüm sorumlulukları yerine getiriyor. sızdırmıyor, patlamıyor, muşamba - amerikan bezi ile büyümüş bir baba olarak memnunum...",1
193,"ben bilmem,",1
194,"fiyatına göre ürün gayet güzel, peformansı yeterli. hız ve sıcaklık ayrının ayrı ayrı yapılması güzel bir özellik.",1
195,evimde fare yada sinek şikayetim yoktu sadece mutfakta böcek oluyordu onun için aldım. böcekler üzerinde en ufak bir etkisi yok böceklerin üstüne çıkıp halay çekemediği kaldı o derece. neyseki sorunu buldum mutfaktaki lavobo giderinden geliyolarmış giderin çevresini silikonladım sorun çözüldü. böcek için almayın fare ve sineği bilmem.,0
196,daha önceki makınemızde arzum du. fakat bunu aldıktan sonra biz onu nasıl kullanmısız dedim. çabucak ısınıyor ve saçlarınızı hemen kurutuyor. bu  fiyata kacırmayın.,1
197,"uygun fiyat, hızlı gönderi. teşekkürler hepsiburada.",1
198,sürekli̇ kullandiğim ürün onun marketlerdeki̇ fi̇yatini cok i̇yi̇ bi̇li̇yorum dişariya göre fiyati çok uygun ve 2 i̇ş gününde tesli̇m daha ne olsun,1
199,çok beğenerek kullanıyorum.,1
